name,position,team,conference,jerseyNumber,height,weight,year,eligible,fantasy_points,season_fantasy_points,depth_chart_order,external_id,image_url,stats
Cade Carruth,QB,Alabama,SEC,,,,,true,0,0,,,,
John Cooper,QB,Alabama,SEC,,,,,true,0,0,,,,
John Gazzaniga,QB,Alabama,SEC,,,,,true,0,0,,,,
AK Dear,RB,Alabama,SEC,,,,,true,0,0,,,,
Daniel Hill,RB,Alabama,SEC,,,,,true,0,0,,,,
Cole Adams,WR,Alabama,SEC,,,,,true,0,0,,,,
Germie Bernard,WR,Alabama,SEC,,,,,true,0,0,,,,
Lotzeir Brooks,WR,Alabama,SEC,,,,,true,0,0,,,,
Jalen Hale,WR,Alabama,SEC,,,,,true,0,0,,,,
Aeryn Hampton,WR,Alabama,SEC,,,,,true,0,0,,,,
Isaiah Horton,WR,Alabama,SEC,,,,,true,0,0,,,,
Josh Cuevas,TE,Alabama,SEC,,,,,true,0,0,,,,
Brody Dalton,TE,Alabama,SEC,,,,,true,0,0,,,,
Kaleb Edwards,TE,Alabama,SEC,,,,,true,0,0,,,,
Jayden Hobson,TE,Alabama,SEC,,,,,true,0,0,,,,
Tucker Cornelius,K,Alabama,SEC,,,,,true,0,0,,,,
Keelon Russell,QB,Alabama,SEC,,,,,true,0,0,,,,
Ty Simpson,QB,Alabama,SEC,,,,,true,0,0,,,,
Kevin Riley,RB,Alabama,SEC,,,,,true,0,0,,,,
Dre Washington,RB,Alabama,SEC,,,,,true,0,0,,,,
Richard Young,RB,Alabama,SEC,,,,,true,0,0,,,,
MJ Chirgwin,WR,Alabama,SEC,,,,,true,0,0,,,,
Ben Jackson,WR,Alabama,SEC,,,,,true,0,0,,,,
Rico Scott,WR,Alabama,SEC,,,,,true,0,0,,,,
Ryan Williams,WR,Alabama,SEC,,,,,true,0,0,,,,
Peyton Fox,TE,Alabama,SEC,,,,,true,0,0,,,,
Lane Whisenhunt,TE,Alabama,SEC,,,,,true,0,0,,,,
Reid Schuback,K,Alabama,SEC,,,,,true,0,0,,,,
Conor Talty,K,Alabama,SEC,,,,,true,0,0,,,,
Carson Beck,QB,Georgia,SEC,,,,,true,0,0,,,,
Gunner Stockton,QB,Georgia,SEC,,,,,true,0,0,,,,
Trevor Etienne,RB,Georgia,SEC,,,,,true,0,0,,,,
Andrew Paul,RB,Georgia,SEC,,,,,true,0,0,,,,
Dominic Lovett,WR,Georgia,SEC,,,,,true,0,0,,,,
Rara Thomas,WR,Georgia,SEC,,,,,true,0,0,,,,
Oscar Delp,TE,Georgia,SEC,,,,,true,0,0,,,,
Jared Zirkel,K,Georgia,SEC,,,,,true,0,0,,,,
Garrett Nussmeier,QB,LSU,SEC,,,,,true,0,0,,,,
Kaleb Jackson,RB,LSU,SEC,,,,,true,0,0,,,,
Josh Williams,RB,LSU,SEC,,,,,true,0,0,,,,
