conference,team,name,jersey,pos,height,weight,class,source_file
ACC,Boston College,Andy Quinn,25,K,6-4,199,,conference rosters/ACC/BostonCollege2025.pdf
ACC,Boston College,Liam Connor,95,K,6-2,207,,conference rosters/ACC/BostonCollege2025.pdf
ACC,Boston College,Luca Lombardo,99,K,5-11,175,,conference rosters/ACC/BostonCollege2025.pdf
ACC,Boston College,Sam Stone,30,K,6-0,167,,conference rosters/ACC/BostonCollege2025.pdf
ACC,Boston College,Shamus Florio,28,K,6-3,205,,conference rosters/ACC/BostonCollege2025.pdf
ACC,Boston College,Dylan Lonergan,9,QB,6-2,211,,conference rosters/ACC/BostonCollege2025.pdf
ACC,Boston College,Enzo Arjona,13,QB,5-10,204,,conference rosters/ACC/BostonCollege2025.pdf
ACC,Boston College,Grayson James,3,QB,6-3,218,,conference rosters/ACC/BostonCollege2025.pdf
ACC,Boston College,Jake Coniglio,7,QB,6-1,210,,conference rosters/ACC/BostonCollege2025.pdf
ACC,Boston College,Shaker Reisig,10,QB,6-0,199,,conference rosters/ACC/BostonCollege2025.pdf
ACC,Boston College,Shane Hanafin,15,QB,6-1,215,,conference rosters/ACC/BostonCollege2025.pdf
ACC,Boston College,Alex Broome,20,RB,5-6,194,,conference rosters/ACC/BostonCollege2025.pdf
ACC,Boston College,Anthony Ferrucci,33,RB,5-7,193,,conference rosters/ACC/BostonCollege2025.pdf
ACC,Boston College,Bo MacCormack III,24,RB,5-10,198,,conference rosters/ACC/BostonCollege2025.pdf
ACC,Boston College,Hunter Clark,36,RB,5-11,243,,conference rosters/ACC/BostonCollege2025.pdf
ACC,Boston College,Jordan McDonald,5,RB,6-1,211,,conference rosters/ACC/BostonCollege2025.pdf
ACC,Boston College,Mekhi Dodd,29,RB,6-0,210,,conference rosters/ACC/BostonCollege2025.pdf
ACC,Boston College,Turbo Richard,2,RB,5-8,207,,conference rosters/ACC/BostonCollege2025.pdf
ACC,Boston College,Brady Clough,84,TE,6-3,239,,conference rosters/ACC/BostonCollege2025.pdf
ACC,Boston College,DJ Johnson,89,TE,6-2,229,,conference rosters/ACC/BostonCollege2025.pdf
ACC,Boston College,Danny Edgehille,86,TE,6-5,250,,conference rosters/ACC/BostonCollege2025.pdf
ACC,Boston College,Dominic DeSarno,46,TE,6-4,224,,conference rosters/ACC/BostonCollege2025.pdf
ACC,Boston College,Jeremiah Franklin,17,TE,6-3,244,,conference rosters/ACC/BostonCollege2025.pdf
ACC,Boston College,Kaelan Chudzinski,85,TE,6-3,236,,conference rosters/ACC/BostonCollege2025.pdf
ACC,Boston College,Stevie Amar Jr.,18,TE,6-2,228,,conference rosters/ACC/BostonCollege2025.pdf
ACC,Boston College,Ty Lockwood,19,TE,6-4,245,,conference rosters/ACC/BostonCollege2025.pdf
ACC,Boston College,Zeke Moore,48,TE,6-0,240,,conference rosters/ACC/BostonCollege2025.pdf
ACC,Boston College,Bryce Dopson,80,WR,6-1,187,,conference rosters/ACC/BostonCollege2025.pdf
ACC,Boston College,Cedric Lott Jr.,81,WR,6-5,218,,conference rosters/ACC/BostonCollege2025.pdf
ACC,Boston College,Datrell Jones,26,WR,5-9,188,,conference rosters/ACC/BostonCollege2025.pdf
ACC,Boston College,Dawson Pough,88,WR,6-0,193,,conference rosters/ACC/BostonCollege2025.pdf
ACC,Boston College,Duke Brennan,34,WR,6-4,183,,conference rosters/ACC/BostonCollege2025.pdf
ACC,Boston College,Ismael Zamor,82,WR,6-0,193,,conference rosters/ACC/BostonCollege2025.pdf
ACC,Boston College,Jaedn Skeete,1,WR,6-2,188,,conference rosters/ACC/BostonCollege2025.pdf
ACC,Boston College,Johnathan Montague Jr.,8,WR,6-1,212,,conference rosters/ACC/BostonCollege2025.pdf
ACC,Boston College,Lewis Bond,11,WR,5-11,190,,conference rosters/ACC/BostonCollege2025.pdf
ACC,Boston College,Luke McLaughlin,83,WR,5-10,181,,conference rosters/ACC/BostonCollege2025.pdf
ACC,Boston College,Michael Landolfi,32,WR,6-0,188,,conference rosters/ACC/BostonCollege2025.pdf
ACC,Boston College,Nedrick Boldin Jr.,14,WR,5-11,188,,conference rosters/ACC/BostonCollege2025.pdf
ACC,Boston College,Reed Harris,4,WR,6-5,217,,conference rosters/ACC/BostonCollege2025.pdf
ACC,Boston College,Semaj Fleming,16,WR,5-8,171,,conference rosters/ACC/BostonCollege2025.pdf
ACC,Boston College,Tim Longo,35,WR,5-9,190,,conference rosters/ACC/BostonCollege2025.pdf
ACC,Boston College,VJ Wilkins,21,WR,5-9,187,,conference rosters/ACC/BostonCollege2025.pdf
ACC,Boston College,Will Graves III,38,WR,6-3,197,,conference rosters/ACC/BostonCollege2025.pdf
ACC,Boston College,Zach Schnorrbusch,37,WR,6-1,205,,conference rosters/ACC/BostonCollege2025.pdf
ACC,California,Abram Murray,27,K,6-0,210,,conference rosters/ACC/California2025.pdf
ACC,California,Chase Meyer,91,K,5-10,180,,conference rosters/ACC/California2025.pdf
ACC,California,Erik Peters,37,K,6-1,170,,conference rosters/ACC/California2025.pdf
ACC,California,Alonzo Esparza,17,QB,6-0,190,,conference rosters/ACC/California2025.pdf
ACC,California,Belay Brummel,20,QB,6-2,175,,conference rosters/ACC/California2025.pdf
ACC,California,Devin Brown,13,QB,6-3,215,,conference rosters/ACC/California2025.pdf
ACC,California,Dominic Ingrassia,14,QB,6-4,200,,conference rosters/ACC/California2025.pdf
ACC,California,EJ Caminong,2,QB,6-2,215,,conference rosters/ACC/California2025.pdf
ACC,California,Jaron-Keawe Sagapolutele,3,QB,6-3,225,,conference rosters/ACC/California2025.pdf
ACC,California,Anthony League,25,RB,6-0,215,,conference rosters/ACC/California2025.pdf
ACC,California,Brandon High Jr.,5,RB,5-10,220,,conference rosters/ACC/California2025.pdf
ACC,California,Dean-Taylor Chapman,33,RB,5-9,175,,conference rosters/ACC/California2025.pdf
ACC,California,Jamaal Wiley,28,RB,6-0,220,,conference rosters/ACC/California2025.pdf
ACC,California,Jayden Parker,24,RB,5-10,180,,conference rosters/ACC/California2025.pdf
ACC,California,Kendrick Raphael,6,RB,5-11,200,,conference rosters/ACC/California2025.pdf
ACC,California,LJ Johnson Jr.,11,RB,5-10,215,,conference rosters/ACC/California2025.pdf
ACC,California,Ben Marshall,89,TE,6-4,245,,conference rosters/ACC/California2025.pdf
ACC,California,Jack Olyphant,90,TE,6-4,245,,conference rosters/ACC/California2025.pdf
ACC,California,Jake Houseworth,80,TE,6-3,225,,conference rosters/ACC/California2025.pdf
ACC,California,Jeffrey Johnson,86,TE,6-5,250,,conference rosters/ACC/California2025.pdf
ACC,California,Landon Morris,81,TE,6-5,240,,conference rosters/ACC/California2025.pdf
ACC,California,Mason Mini,85,TE,6-4,240,,conference rosters/ACC/California2025.pdf
ACC,California,Carson Perry-Smith,22,WR,5-11,195,,conference rosters/ACC/California2025.pdf
