Collection,Attributes,Indexes,Description
rankings,"week (integer required); season (integer required); poll_type (string:20 required); team (string:50 required); rank (integer required); points (integer); first_place_votes (integer); source (string:24 required); school_id (string:64 required)","ranking_week; ranking_season; ranking_team; ranking_ap; ranking_order; by_source; by_school",""
matchups,"league_id (string:64 required); season (integer required); week (integer required); home_team_id (string:64 required); away_team_id (string:64 required); home_points (double); away_points (double); status (string:16)","league_season_week",""
player_stats,"playerId (string:50 required); gameId (string:50 required); week (integer required); season (integer required); stats (string:2000 required); opponent (string:50); fantasy_points (double); eligible (boolean); player_id (string:64 required); game_id (string:64 required); statline_json (string:16384 required)","stats_player; stats_game; stats_week; stats_player_week; player_season_week; game_idx",""
drafts,"leagueId (string:100 required); status (string:100 required); currentRound (integer); currentPick (integer); maxRounds (integer); draftOrder (string:100); startTime (datetime); endTime (datetime); league_id (string:64 required); type (string:16 required); start_time (datetime); end_time (datetime); clock_seconds (integer); order_json (string:8192); max_rounds (integer); current_pick (integer); current_round (integer); is_mock (boolean)","league_idx",""
activity_log,"leagueId (string:100 required); userId (string:100); action (string:100 required); details (string:100); timestamp (datetime required); type (string:50 required); teamId (string:255); description (string:1000 required); data (string:5000); createdAt (datetime required); inviteToken (string:255); status (string:50); expiresAt (datetime); ip_address (string:45); user_agent (string:500); actor_client_id (string:64); object_type (string:24); object_id (string:64); league_id (string:64); ts (datetime required); payload_json (string:16384)","idx_type; idx_user; idx_league; idx_created; idx_invite_token; idx_status; actor_idx; object_idx; league_idx",""
invites,"leagueId (string:100 required); email (string:100); invitedBy (string:100); inviteCode (string:100 required); token (string:100); status (string:100); expiresAt (datetime); createdAt (datetime required); acceptedAt (datetime); league_id (string:64 required); created_at (datetime required); accepted_at (datetime); expires_at (datetime); invited_by (string:64)","league_email; token_unique",""
transactions,"league_id (string:64 required); fantasy_team_id (string:64 required); type (string:24 required); payload_json (string:8192); season (integer); week (integer); ts (datetime)","league_idx; league_season_week; team_idx",""
meshy_jobs,"resultUrl (string:1024); mode (string:32); prompt (string:2048); userId (string:128); error (string:1024); webhookSecret (string:256); createdAt (datetime required); imageUrl (string:1024); updatedAt (datetime); baseModelUrl (string:1024); user_id (string:64); image_url (string:512); result_url (string:512); status (string:16); created_at (datetime required); updated_at (datetime); webhook_secret (string:128)","user_idx; created_at_idx",""
model_versions,"versionId (string:100 required); modelPath (string:1000 required); version (integer required); changes (string:65536); createdAt (datetime required); createdBy (string:100 required); description (string:1000 required); glbUrl (string url); thumbnailUrl (string url); bucketFileId (string:100); version_id (string:64 required); created_at (datetime required); created_by (string:64 required); artifact_uri (string:512); thumbnail_url (string:512)","versionId_idx; version_idx; createdAt_idx; createdBy_idx; version_id_idx; created_at_idx",""
auctions,"leagueId (string:50 required); draft_id (string:64 required); player_id (string:64 required); status (string:16 required); winner_team_id (string:64); winning_bid (double)","auction_league; draft_idx; lot_unique",""
bids,"auctionId (string:50 required); playerId (string:50 required); teamId (string:50 required); amount (double required); timestamp (datetime required); isWinning (boolean); auction_id (string:64 required); fantasy_team_id (string:64 required)","bid_auction; bid_player; auction_idx; auction_amount",""
lineups,"rosterId (string:50 required); week (integer required); season (integer required); lineup (string:5000); bench (string:5000); points (double); locked (boolean); fantasy_team_id (string:64 required)","team_season_week_unique",""
migrations,"migration_id (string:255 required); name (string:255 required); applied_at (datetime required)","migration_id_unique",""
draft_states,"draftId (string:255 required); onClockTeamId (string:255 required); deadlineAt (datetime); round (integer required); pickIndex (integer required); status (string enum required); draft_id (string:64 required); on_clock_team_id (string:64 required); pick_index (integer required); deadline_at (datetime)","draft_unique_idx; draft_unique",""
leagues,"name (string:100 required); commissioner (string:50 required); season (integer required); maxTeams (integer); status (string:20); gameMode (string:20); draftType (string:20); isPublic (boolean); currentTeams (integer); pickTimeSeconds (integer); scoringRules (string:5000); draftDate (datetime); selectedConference (string:50); seasonStartWeek (integer); playoffTeams (integer); playoffStartWeek (integer); waiverType (string:20); waiverBudget (integer); password (string:50); owner_client_id (string:64 required); draft_type (string:16); is_public (boolean); draft_date (datetime); pick_time_seconds (integer); playoff_start_week (integer); playoff_teams (integer); max_teams (integer); selected_conference (string:32); scoring_rules (string:8192); waiver_budget (integer); waiver_type (string:16)","status_idx; public_idx; owner_idx; season_idx",""
college_players,"name (string:100 required); position (string:10 required); team (string:50 required); conference (string:20 required); year (string:10); jerseyNumber (integer); height (string:10); weight (integer); eligible (boolean); fantasy_points (double); season_fantasy_points (double); depth_chart_order (integer); school_id (string:64 required); jersey_number (integer); class_year (string:16); cfbd_id (string:32); espn_id (string:32)","position_idx; team_idx; points_idx; name_search; school_idx; cfbd_idx; espn_idx",""
games,"week (integer required); season (integer required); season_type (string:20 required); date (datetime required); home_team (string:50 required); away_team (string:50 required); home_score (integer); away_score (integer); status (string:20); eligible (boolean); start_date (datetime required); completed (boolean required); eligible_game (boolean required); home_school_id (string:64 required); away_school_id (string:64 required); kickoff_at (datetime required)","week_idx; eligible_idx; season_week; home_idx; away_idx",""
draft_events,"draft_id (string:64 required); type (string:24 required); round (integer); overall (integer); fantasy_team_id (string:64); player_id (string:64); ts (datetime); payload_json (string:8192)","by_overall; by_ts",""
clients,"auth_user_id (string:64 required); display_name (string:128); email (string:256); avatar_url (string:512); created_at (datetime required); last_login (datetime)","auth_user_id_unique; email_idx",""
fantasy_teams,"league_id (string:64 required); owner_client_id (string:64 required); name (string:128 required); abbrev (string:8); logo_url (string:512); wins (integer); losses (integer); ties (integer); points_for (double); points_against (double); draft_position (integer); auction_budget_total (double); auction_budget_remaining (double); display_name (string:255)","league_idx; league_owner_idx",""
roster_slots,"fantasy_team_id (string:64 required); player_id (string:64 required); position (string:8 required); acquired_via (string:16); acquired_at (datetime)","team_idx; team_player_idx",""
schools,"name (string:128 required); conference (string:16 required); slug (string:64); abbreviation (string:16); logo_url (string:512); primary_color (string:16); secondary_color (string:16); mascot (string:64)","slug_unique; conference_idx",""
projections,"player_id (string:64 required); season (integer required); week (integer); period (string:16 required); version (integer required); model (string:32); source (string:16); client_id (string:64); fantasy_points (double); components_json (string:16384); boom_prob (double); bust_prob (double); defense_vs_pos_grade (double); home_away (string:8); injury_status (string:16); opponent_school_id (string:64); rank_pro (integer); start_sit_color (string:8); team_total_est (double); utilization_trend (string:16)","player_season_week_version; season_week_version",""
model_runs,"run_id (string:64 required); model_version_id (string:64); season (integer required); week (integer); scope (string:32 required); sources (string:512); started_at (datetime); finished_at (datetime); status (string:16 required); inputs_json (string:16384); metrics_json (string:16384); weights_json (string:16384)","run_unique; season_week; model_version_idx",""
